city,scf,zip_code
RENO,897,897xx
ELKO,898,898xx
LOS ANGELES,900,900xx
LOS ANGELES,901,901xx
LOS ANGELES,902,902xx
LOS ANGELES,903,903xx
LOS ANGELES,904,904xx
LONG BEACH,905,905xx
LONG BEACH,906,906xx
LONG BEACH,907,907xx
LONG BEACH,908,908xx
PASADENA,910,910xx
PASADENA,911,911xx
PASADENA,912,912xx
SANTA CLARITA,913,913xx
SANTA CLARITA,914,914xx
SANTA CLARITA,915,915xx
SANTA CLARITA,916,916xx
CITY OF INDUSTRY,917,917xx
CITY OF INDUSTRY,918,918xx
SAN DIEGO,919,919xx
SAN DIEGO,920,920xx
SAN DIEGO,921,921xx
SAN BERNARDINO,922,922xx
SAN BERNARDINO,923,923xx
SAN BERNARDINO,924,924xx
SAN BERNARDINO,925,925xx
SANTA ANA,926,926xx
SANTA ANA,927,927xx
ANAHEIM,928,928xx
OXNARD,930,930xx
GOLETA,931,931xx
BAKERSFIELD,932,932xx
BAKERSFIELD,933,933xx
GOLETA,934,934xx
MOJAVE,935,935xx
FRESNO,936,936xx
FRESNO,937,937xx
SALINAS,939,939xx
SAN FRANCISCO,940,940xx
SAN FRANCISCO,941,941xx
WEST SACRAMENTO,942,942xx
SAN FRANCISCO,943,943xx
SAN FRANCISCO,944,944xx
OAKLAND,945,945xx
OAKLAND,946,946xx
OAKLAND,947,947xx
OAKLAND,948,948xx
PETALUMA,949,949xx
SAN JOSE,950,950xx
SAN JOSE,951,951xx
STOCKTON,952,952xx
STOCKTON,953,953xx
PETALUMA,954,954xx
EUREKA,955,955xx
WEST SACRAMENTO,956,956xx
WEST SACRAMENTO,957,957xx
WEST SACRAMENTO,958,958xx
OLIVEHURST,959,959xx
REDDING,960,960xx
RENO,961,961xx
SAN FRANCISCO,962,962xx
SAN FRANCISCO,963,963xx
SAN FRANCISCO,965,965xx
SAN FRANCISCO,966,966xx
HONOLULU,967,967xx
HONOLULU,968,968xx
BARRIGADA,969,969xx
PORTLAND,970,970xx
PORTLAND,971,971xx
PORTLAND,972,972xx
SALEM,973,973xx
SPRINGFIELD,974,974xx
MEDFORD,975,975xx
KLAMATH FALLS,976,976xx
BEND,977,977xx
PENDLETON,978,978xx
BOISE,979,979xx
TUKWILA,980,980xx
TUKWILA,981,981xx
EVERETT,982,982xx
TACOMA,983,983xx
TACOMA,984,984xx
TUMWATER,985,985xx
PORTLAND,986,986xx
WENATCHEE,988,988xx
YAKIMA,989,989xx
SPOKANE,990,990xx
SPOKANE,991,991xx
SPOKANE,992,992xx
PASCO,993,993xx
LEWISTON,994,994xx
ANCHORAGE,995,995xx
ANCHORAGE,996,996xx
FAIRBANKS,997,997xx
JUNEAU,998,998xx
KETCHIKAN,999,999xx
